name,price_basic,price_product,rating,reviewRating
"Игровой ноутбук RTX 2050 15.6"" i5 16Gb 512Gb серый",65359.0,54901.0,5,5.0
Матрица для Modern 15 B12M 15.6 30pin матовая,12359.0,3757.0,5,4.9
Матрица для Katana GF76 12UGS FHD IPS матовая 144 Hz,26381.0,8019.0,5,5.0
"Ноутбук 13.4"" Intel Core i7 1360P 2.2ГГц W11 16ГБ 1024ГБ",123990.0,104151.0,0,0.0
"Ноутбук 14"" Intel Core i7 1255U 1.7ГГц W11Pro 16ГБ 512ГБ",88600.0,74424.0,0,0.0
"Ноутбук 17.3"" Intel Core i5 13420H 2.1ГГц noOS 16ГБ 512ГБ",84990.0,71391.0,5,5.0
Матрица для Katana GF76 12UG FHD IPS матовая 144 Hz,26381.0,8019.0,5,5.0
Ноутбук Thin GF63 12UC-2209NL i5 12450H 16Gb,72100.0,60564.0,5,5.0
"Ноутбук 15.6"" Intel Core i5 1335U 1.3ГГц noOS 16ГБ 1024ГБ",62139.0,51152.0,0,0.0
"Ноутбук игровой 15.6"" i7 32Gb 512Gb RTX 4060 DOS",135589.0,113894.0,5,5.0
Неттоп Pro DP10 12M-230XRU i3 1215U noOS (9S6-B0A622-230),46485.0,38582.0,0,0.0
Неттоп Pro DP10 12M-039BRU i5 1235U Iris Xe noOS белый,45366.0,35018.0,0,0.0
Ноутбук игровой Raider 18 HX A14VHG-485XRU-BB91490X32GXXDXX,324999.0,272999.0,5,5.0
"Материнская плата PRO A620M-E, Micro-ATX AM5 DDR5",14900.0,6332.0,5,4.8
Материнская плата PRO B650M-E AM5 AMD B650 mATX RTL,8186.0,7039.0,5,5.0
Видеокарта RTX 5060 8 ГБ RTL (RTX 5060 8G SHADOW 2X OC),38088.0,32755.0,0,0.0
Матрица для Katana GF76 12UE FHD IPS матовая 144 Hz,26381.0,8019.0,5,5.0
MAG FORGE M100R Black Mini Tower Компьютерный корпус,4980.0,4133.0,5,5.0
Материнская плата B850 TOMAHAWK MAX WIFI AM5 AMD B850 ATX RT,28337.0,24369.0,5,4.6
Неттоп Pro DP21 12M-439XRU 8Gb SSD512Gb,46000.0,40940.0,0,0.0
ПК Infinite i5 14400F 32Gb SSD1Tb RTX 4070Super 12Gb,186439.0,165930.0,0,0.0
ПК Infinite i5 14400F 32Gb SSD1Tb RTX 4070Super 12Gb,165300.0,147117.0,0,0.0
ПК Infinite i5 14400F 16Gb SSD512Gb RTX4060 8Gb noOS,118200.0,105198.0,0,0.0
Неттоп Pro DP21 13M-848RU i3 13100 16Gb SSD512Gb,62139.0,55303.0,0,0.0
Неттоп Cubi N100 8Gb SSD 256Gb UHDG,27200.0,24208.0,0,0.0
Неттоп Cubi 5 12M-031BRU i5 1235U noOS,39539.0,35189.0,0,0.0
Неттоп NetTop NUC 1M-052BRU,61431.0,48948.0,0,0.0
Неттоп NetTop NUC 1M-052BRU,57527.0,47747.0,0,0.0
"Материнская плата B760 GAMING PLUS WIFI ATX, LGA 1700 DDR5",28180.0,11976.0,5,4.8
"Монитор 27"" Optix MPG 274URF QD, 3840х2160, 160 Гц, IPS",56489.0,50275.0,0,0.0
Аккумулятор BTY-S14 для ноутбука 5200mAh 11.1V,2787.0,1387.0,5,4.7
"Материнская плата A520M PRO (AM4, mATX)",5099.0,4385.0,5,4.7
"Монитор 34"" MP341CQ VA 2K чер",31064.0,27646.0,0,0.0
"15.6"" Thin 15 B13BVE Core i5-13420H 16 512ГБ RTX 4050",111940.0,94029.0,0,0.0
Видеокарта RTX 5070 12 ГБ RTL (RTX 5070 12G SHADOW 2X OC),69600.0,59856.0,5,4.8
Видеокарта 8GB RTX3050 VENTUS 2X XS OC,21992.0,18913.0,5,4.9
Зарядка для ноутбука 90W 19V 4.74A штекер 5.5x2.5мм,4225.0,2104.0,5,4.7
"Материнская плата A520M-A PRO Micro-ATX, AM4 DDR4",10320.0,4386.0,5,4.8
